RAJ2000,DEJ2000,local_rms_wide
23.749897,-31.646145,0.0057121837
23.583,-31.547447,0.0056156386
23.535883,-31.457602,0.0056029074
24.584665,-31.667328,0.0066355537
24.965675,-31.719837,0.006401733
24.477272,-31.593641,0.0064569707
23.539156,-31.318003,0.005760449
23.71644,-31.30807,0.005772371
24.666384,-31.55508,0.006846492
23.44692,-31.232395,0.0059101153
24.299187,-31.426487,0.0061568785
24.285013,-31.379105,0.0061737304
25.502989,-31.67309,0.0061255936
24.467974,-31.406864,0.006132094
25.012392,-31.549133,0.0066338615
24.750822,-31.4766,0.0069171614
24.185125,-31.311556,0.006102016
25.653545,-31.66625,0.005786806
23.340982,-31.066893,0.006128887
25.152657,-31.476267,0.0063971994
23.787514,-31.134695,0.0059214444
25.647383,-31.522154,0.0058777416
23.568674,-30.97371,0.005988823
23.417528,-30.94393,0.0060740705
24.69512,-31.269642,0.0065363836
23.672081,-31.016273,0.005913357
25.303457,-31.376064,0.0059656766
25.550743,-31.393028,0.0060656145
24.93049,-31.217905,0.0064124228
25.203213,-31.300108,0.006060975
24.766321,-31.199953,0.006485038
26.377432,-31.54069,0.0058108363
25.266926,-31.284115,0.006002968
25.655558,-31.393719,0.0062105204
23.860851,-30.913176,0.005656371
23.573591,-30.832891,0.0057391315
23.312307,-30.732473,0.0057010497
24.343252,-30.984676,0.0059697996
24.030699,-30.926456,0.0058038314
26.621128,-31.525127,0.006172297
24.741716,-31.013977,0.0058555403
24.479286,-30.946697,0.005835831
25.143578,-31.070059,0.0059678555
25.456959,-31.130136,0.0058712754
26.132095,-31.251759,0.006082721
26.636889,-31.379288,0.0062738117
26.310501,-31.294268,0.006111276
26.045979,-31.25335,0.006206497
24.895952,-30.970642,0.0058869077
24.305004,-30.766947,0.0058873626
24.569132,-30.801523,0.006007146
25.707727,-31.062883,0.006438076
24.45354,-30.741472,0.006072463
24.817158,-30.823229,0.0060511096
25.910772,-31.089901,0.00656681
26.258722,-31.162243,0.006139498
26.736824,-31.247879,0.00614455
25.246199,-30.881908,0.0061626467
24.605042,-30.727045,0.0061722295
26.208736,-31.086956,0.0060546217
25.575632,-30.934351,0.0059439624
24.459803,-30.657866,0.0062618474
26.684332,-31.197645,0.0061499034
23.426,-30.287464,0.0052946587
23.396584,-30.349932,0.005313306
25.508005,-30.886868,0.005838945
25.721542,-30.911531,0.0062664067
25.600271,-30.872982,0.0060209427
26.51042,-31.082647,0.00610918
25.672953,-30.785486,0.006383923
24.5622,-30.505375,0.006146019
24.969448,-30.607216,0.0061129816
24.165836,-30.402851,0.006060269
24.85141,-30.5893,0.0061147977
24.284157,-30.403616,0.006035885
24.756119,-30.502937,0.0060991533
26.292294,-30.85086,0.0059901536
25.665003,-30.67259,0.0061867945
25.415026,-30.586054,0.006220512
24.907228,-30.47888,0.0060713645
24.99144,-30.482706,0.0061178305
24.798397,-30.434189,0.006051416
26.012045,-30.724491,0.0065470166
24.667677,-30.392838,0.0061482834
25.088255,-30.466238,0.005966609
23.610802,-30.09351,0.0052842177
